created_at,cost_total,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,finish_reason_normalized,generation_time_ms,time_to_first_token_ms
2026-01-15 06:44:16.597,0.003346,192,215,109,openai/gpt-5.2-20251211,OpenAI,standard,stop,5633,3354
2026-01-15 06:44:16.596,0.01398,200,1373,1273,google/gemini-2.5-pro,Google,standard,stop,14826,2463
2026-01-15 06:44:16.594,0.00049,196,1923,1806,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,35630,837
2026-01-15 06:44:16.593,0.002379,213,116,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4380,2279
2026-01-15 06:44:12.013,0.002952,354,126,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3702,978
2026-01-15 06:44:12.011,0.016101,313,1571,1479,google/gemini-2.5-pro,Google,standard,stop,15033,2954
2026-01-15 06:44:12.008,0.003314,302,199,93,openai/gpt-5.2-20251211,OpenAI,standard,stop,4717,2776
2026-01-15 06:44:12.007,0.000233,319,869,793,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,14971,788
2026-01-15 06:44:08.827,0.015642,306,1526,1428,google/gemini-2.5-pro,Google,standard,stop,15542,2155
2026-01-15 06:44:08.825,0.000219,309,817,740,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,15322,819
2026-01-15 06:44:08.823,0.004046,296,252,144,openai/gpt-5.2-20251211,OpenAI,standard,stop,5885,4034
2026-01-15 06:44:08.819,0.002811,342,119,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3277,994
2026-01-15 06:43:57.713,0.002178,206,104,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3563,1828
2026-01-15 06:43:57.676,0.000194,193,738,642,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,13589,1340
2026-01-15 06:43:57.674,0.003573,186,232,131,openai/gpt-5.2-20251211,OpenAI,standard,stop,6835,4200
2026-01-15 06:43:57.673,0.012543,195,1230,1140,google/gemini-2.5-pro,Google,standard,stop,18399,7766
2026-01-15 06:43:50.373,0.014368,231,1408,1302,google/gemini-2.5-pro,Google,standard,stop,21162,9060
2026-01-15 06:43:50.338,0.002703,256,129,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4454,1868
2026-01-15 06:43:50.334,0.000125,229,455,373,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,8856,983
2026-01-15 06:43:50.333,0.003267,219,206,100,openai/gpt-5.2-20251211,OpenAI,standard,stop,5244,3367
2026-01-15 06:43:46.030,0.0173,224,1702,1569,google/gemini-2.5-pro,Google,standard,stop,18299,2517
2026-01-15 06:43:45.975,0.000286,219,1103,1013,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,22624,1053
2026-01-15 06:43:45.974,0.008408,213,574,472,openai/gpt-5.2-20251211,OpenAI,standard,stop,15318,7130
2026-01-15 06:43:45.972,0.002427,244,113,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,2798,761
2026-01-15 06:43:42.165,0.014513,315,1412,1313,google/gemini-2.5-pro,Google,standard,stop,14987,2428
2026-01-15 06:43:42.138,0.000169,325,613,532,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,11067,1222
2026-01-15 06:43:42.136,0.002817,354,117,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4115,1589
2026-01-15 06:43:42.133,0.004341,305,272,154,openai/gpt-5.2-20251211,OpenAI,standard,stop,5345,4093
2026-01-15 06:43:35.927,0.003031,196,192,107,openai/gpt-5.2-20251211,OpenAI,standard,stop,4215,3303
2026-01-15 06:43:35.926,0.002385,225,114,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4039,1821
2026-01-15 06:43:35.925,0.000151,202,566,481,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,10840,958
2026-01-15 06:43:35.923,0.013075,204,1282,1174,google/gemini-2.5-pro,Google,standard,stop,13660,2654
2026-01-15 06:43:26.608,0.002259,213,108,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3825,2038
2026-01-15 06:43:26.607,0.018466,197,1822,1704,google/gemini-2.5-pro,Google,standard,stop,18834,2256
2026-01-15 06:43:26.606,0.000114,192,420,356,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,8979,1192
2026-01-15 06:43:26.596,0.00309,190,197,97,openai/gpt-5.2-20251211,OpenAI,standard,stop,4527,2783
2026-01-15 06:43:22.124,0.000136,199,506,440,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,11376,1237
2026-01-15 06:43:22.119,0.013888,199,1364,1273,google/gemini-2.5-pro,Google,standard,stop,13251,2457
2026-01-15 06:43:22.113,0.002169,218,101,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3828,2079
2026-01-15 06:43:22.107,0.002782,190,175,90,openai/gpt-5.2-20251211,OpenAI,standard,stop,4418,2464
2026-01-15 06:43:08.348,0.01666,192,1642,1547,google/gemini-2.5-pro,Google,standard,stop,17592,3371
2026-01-15 06:43:08.348,0.000149,189,559,473,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,10451,833
2026-01-15 06:43:08.346,0.001908,206,86,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3628,2188
2026-01-15 06:43:08.335,0.004592,184,305,214,openai/gpt-5.2-20251211,OpenAI,standard,stop,8658,5768
2026-01-15 06:42:58.091,0.00034,322,1299,1224,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,23655,1454
2026-01-15 06:42:58.090,0.017133,315,1674,1578,google/gemini-2.5-pro,Google,standard,stop,16819,2454
2026-01-15 06:42:58.089,0.00291,355,123,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4077,1546
2026-01-15 06:42:58.086,0.007287,308,482,369,openai/gpt-5.2-20251211,OpenAI,standard,stop,12162,6596
2026-01-15 06:42:31.364,0.002838,256,138,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4608,1803
2026-01-15 06:42:31.363,0.004,222,258,147,openai/gpt-5.2-20251211,OpenAI,standard,stop,6744,3868
2026-01-15 06:42:31.339,0.000307,235,1182,1098,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,70624,1915
2026-01-15 06:42:31.338,0.015331,233,1504,1353,google/gemini-2.5-pro,Google,standard,stop,16119,2718
2026-01-15 06:42:26.198,0.018041,305,1766,1672,google/gemini-2.5-pro,Google,standard,stop,18839,2298
2026-01-15 06:42:26.189,0.000161,308,586,516,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,41817,7819
2026-01-15 06:42:26.188,0.003213,346,145,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4604,1937
2026-01-15 06:42:26.185,0.004182,294,262,147,openai/gpt-5.2-20251211,OpenAI,standard,stop,6953,4915
2026-01-15 06:42:18.318,0.019781,233,1949,1794,google/gemini-2.5-pro,Google,standard,stop,19524,2147
2026-01-15 06:42:18.317,0.0002,232,755,663,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,39476,1316
2026-01-15 06:42:18.305,0.002679,258,127,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,2881,779
2026-01-15 06:42:18.304,0.005839,225,389,275,openai/gpt-5.2-20251211,OpenAI,standard,stop,9397,4621
